date;entity;sector;MDSCIsc;MDSCNsc;SPIsc;SPNsc;FCHIsc;FCHNsc;EXPCNsc;NRACNsc;RUSCIsc;RUSCNsc;AKMCNsc
735051;Новатэк;Нефтегазовый;9;NaN;9;1;9;1;NaN;NaN;NaN;NaN;NaN
735051;Интер РАО;Электроэнергетика;NaN;NaN;NaN;NaN;10;2;NaN;NaN;NaN;NaN;NaN
735051;Итера НГК;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN
735051;БКЕ;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN
735051;ПИК ГК;Строительство;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;NaN;NaN;NaN
735051;Ренессанс Капитал;Финанс.сервисы;NaN;NaN;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Москва Ре;Строительство;NaN;NaN;11;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Тандер;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN
735051;Газпром нефть;Нефтегазовый;9;NaN;9;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Норильский Никель ГМК;Металлургический;8;0;9;1;10;NaN;NaN;NaN;NaN;NaN;NaN
735051;ОМЗ;Машиностроение;NaN;NaN;15;8;NaN;NaN;2;NaN;NaN;NaN;NaN
735051;Транстелеком;Телекоммуникации;NaN;NaN;NaN;NaN;13;6;NaN;NaN;NaN;NaN;NaN
735051;Пермский Моторный Завод;Машиностроение;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN;NaN
735051;АИЖК;Финанс.сервисы;7;0;8;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;Полиметалл;Горнодобыча;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;NaN;NaN;NaN
735051;Таттелеком;Телекоммуникации;NaN;NaN;NaN;NaN;11;NaN;NaN;NaN;NaN;NaN;NaN
735051;ТАИФ-НК;Нефтегазовый;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2
735051;Европлан;Финанс.сервисы;NaN;NaN;NaN;NaN;12;4;NaN;NaN;NaN;NaN;NaN
735051;ИРИА;Финанс.сервисы;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6;NaN;NaN;NaN
735051;СУЭК;Горнодобыча;12;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;МТС;Телекоммуникации;11;NaN;11;NaN;10;2;NaN;NaN;NaN;NaN;NaN
735051;Велес Капитал ИК;Финанс.сервисы;NaN;NaN;14;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
735051;ГраждСамолеты Сухого;Машиностроение;NaN;NaN;NaN;NaN;11;3;NaN;NaN;NaN;NaN;NaN
735051;Балтийский берег;Пищевая промышленность и с/х;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2
